2024-09-26 19:43:28,185 | asyncio | DEBUG | Using selector: EpollSelector:]
2024-09-26 19:43:28,193 | hypercorn.error | INFO | Running on http://192.168.100.8:54321 (CTRL + C to quit):]
2024-09-26 19:43:28,194 | websockets.server | INFO | server listening on 192.168.100.8:54322:]
2024-09-26 19:43:51,945 | websockets.server | DEBUG | = connection is CONNECTING:]
2024-09-26 19:43:51,946 | websockets.server | DEBUG | < GET /ws HTTP/1.1:]
2024-09-26 19:43:51,946 | websockets.server | DEBUG | < Upgrade: websocket:]
2024-09-26 19:43:51,946 | websockets.server | DEBUG | < Host: 192.168.100.8:54322:]
2024-09-26 19:43:51,946 | websockets.server | DEBUG | < Origin: http://192.168.100.8:54322:]
2024-09-26 19:43:51,947 | websockets.server | DEBUG | < Sec-WebSocket-Key: l7X7jso1vKKhkXPbL+zTmA==:]
2024-09-26 19:43:51,947 | websockets.server | DEBUG | < Sec-WebSocket-Version: 13:]
2024-09-26 19:43:51,947 | websockets.server | DEBUG | < Connection: Upgrade:]
2024-09-26 19:43:51,947 | websockets.server | DEBUG | > HTTP/1.1 101 Switching Protocols:]
2024-09-26 19:43:51,947 | websockets.server | DEBUG | > Upgrade: websocket:]
2024-09-26 19:43:51,947 | websockets.server | DEBUG | > Connection: Upgrade:]
2024-09-26 19:43:51,948 | websockets.server | DEBUG | > Sec-WebSocket-Accept: HHq/P/uri2k/H6lCepTIWzNPWSs=:]
2024-09-26 19:43:51,948 | websockets.server | DEBUG | > Date: Thu, 26 Sep 2024 16:43:51 GMT:]
2024-09-26 19:43:51,948 | websockets.server | DEBUG | > Server: Python/3.12 websockets/12.0:]
2024-09-26 19:43:51,948 | websockets.server | INFO | connection open:]
2024-09-26 19:43:51,948 | websockets.server | DEBUG | = connection is OPEN:]
2024-09-26 19:43:51,948 | __main__ | INFO | Client connected:]
2024-09-26 19:44:01,529 | websockets.server | DEBUG | ! failing connection with code 1006:]
2024-09-26 19:44:01,529 | websockets.server | DEBUG | = connection is CLOSED:]
2024-09-26 19:44:01,530 | websockets.server | DEBUG | x half-closing TCP connection:]
